site,m_group,dataset,mean,sd,2.5%,25%,50%,75%,97.5%
Transition,F-Invertivore,Trophic,36.1280698013598,2.895876722020528,30.11100870182893,34.36662770001232,36.20566016902897,37.97061081914636,41.64562522012688
Transition,F-Piscivore,Trophic,33.55977886155126,4.6775138978130455,21.96383098533918,31.24188063038279,33.966311877943454,36.511327144195285,41.809440946140654
Transition,I-Filterer,Trophic,30.616755328253575,9.973240560293483,10.136443221540748,24.669415140690027,31.069939507730986,36.69326381159498,50.433501524283564
Transition,I-Gatherer,Trophic,27.002944958782255,7.522150546723866,11.08264673131451,22.508283790531063,27.32879331952142,31.775876531879987,41.62103361823216
Transition,I-Herbivore,Trophic,59.67159567774348,15.673752997523602,33.073687440373476,47.639403477427415,58.2165261988173,70.79172249984978,91.19302042456638
Transition,I-Predator,Trophic,21.634353606095154,5.827323936472503,8.262622158649133,18.12888338783064,22.467570195294567,25.527099288421194,31.66058843856821
Semi-Arid,F-Herbivore,Trophic,80.03294901982892,9.743618835168437,60.27245095166591,73.33642277187762,80.48127114095355,87.59421756374508,96.42330480404753
Semi-Arid,F-Invertivore,Trophic,60.55581102167545,8.145292945403565,44.45667428022341,55.29855482677557,60.3342519058667,65.58076830503134,77.20317017674873
Semi-Arid,F-Piscivore,Trophic,69.90278926887132,13.10466259039493,41.562711433867065,61.902155841308705,70.68543928907089,79.38734178917882,92.42959192468678
Semi-Arid,I-Filterer,Trophic,41.50110156671403,14.57606333836788,12.945040820676232,31.982244288763894,41.225323071219044,50.50957408368879,73.19666421815543
Semi-Arid,I-Gatherer,Trophic,45.68500918064233,24.241024159795245,6.323988677598711,25.585357138057446,44.58569609052731,64.34088050736858,91.81567710684187
Semi-Arid,I-Herbivore,Trophic,54.5291316727509,19.120152422523034,17.28530262261034,40.690647159073976,54.39597278824513,67.92952485585991,91.40284849977417
Semi-Arid,I-Predator,Trophic,61.57043748744098,13.970177546060244,29.99832828717517,53.08101932409725,62.69585513345993,71.18845067467515,86.34873823521792
Sub-Humid,< 100mm,Size,6.483696099912104,3.658481275919957,1.2020365031781661,3.697545639270576,5.863951885154335,8.66255005030791,14.92068798411283
Sub-Humid,< 150mm,Size,9.392356694632111,4.764498944630186,1.7702220185159872,5.737001201684556,8.914672642679419,12.540368988744488,19.569369088111248
Sub-Humid,< 50mm,Size,18.434557232041126,12.404868479725076,2.4490467255194375,9.630125986721042,16.317080368106943,24.04785207971188,50.99274054786191
Sub-Humid,> 150mm,Size,7.239570328212921,3.879104412612628,1.3731981116537602,4.24381306045944,6.749807965813631,9.653788050432556,15.825074280519624
