site,trophic_category,species,trophic_level_fbase,size_max,guild,carbon,hydrogen,nitrogen,hydrogen_water,W,W_sd,W_compound,hydrogen_raw,kingdom,src_d15N_AQ_mu,src_d15N_TE_mu,percent_AQ_mu,percent_TE_mu,nitrogen_raw
Semi-Arid,I-Predator,Nepidae,3,NA,Invertebrate,-26.5410681,-82.39230488453558,-4.2736244728683825,7.36,0.173,0.122,0.4343917913771157,-79.1951813,Animal,11.459444834363635,13.958484455,0.6171585209757012,0.38284147902429877,8.142556386
Semi-Arid,I-Predator,Nepidae,3,NA,Invertebrate,-27.84609763,-110.25554048453556,-6.903365520868383,7.36,0.173,0.122,0.4343917913771157,-107.0584169,Animal,11.459444834363635,13.958484455,0.6171585209757012,0.38284147902429877,5.512815338
Semi-Arid,F-Herbivore,P.latipinna,2,40,Fish,-25.65888531,-136.41592832156658,0.7760546581988965,7.36,0.173,0.122,0.31607229912589563,-134.0896362,Animal,11.459444834363635,13.958484455,0.8038196580042113,0.1961803419957887,12.72576194
Semi-Arid,F-Herbivore,P.latipinna,2,40,Fish,-25.65888531,-137.89205752156658,0.7760546581988965,7.36,0.173,0.122,0.31607229912589563,-135.5657654,Animal,11.459444834363635,13.958484455,0.8038196580042113,0.1961803419957887,12.72576194
Semi-Arid,F-Herbivore,P.latipinna,2,40,Fish,-24.32595219,-136.41592832156658,1.5156379181988964,7.36,0.173,0.122,0.31607229912589563,-134.0896362,Animal,11.459444834363635,13.958484455,0.8038196580042113,0.1961803419957887,13.4653452
Semi-Arid,F-Herbivore,P.latipinna,2,40,Fish,-24.32595219,-137.89205752156658,1.5156379181988964,7.36,0.173,0.122,0.31607229912589563,-135.5657654,Animal,11.459444834363635,13.958484455,0.8038196580042113,0.1961803419957887,13.4653452
Semi-Arid,F-Herbivore,P.latipinna,2,40,Fish,-25.36804402,-134.3747358215666,2.2924013281988973,7.36,0.173,0.122,0.31607229912589563,-132.0484437,Animal,11.459444834363635,13.958484455,0.8038196580042113,0.1961803419957887,14.24210861
Semi-Arid,F-Herbivore,P.latipinna,2,40,Fish,-25.36804402,-97.3179171415666,2.2924013281988973,7.36,0.173,0.122,0.31607229912589563,-94.99162502,Animal,11.459444834363635,13.958484455,0.8038196580042113,0.1961803419957887,14.24210861
Semi-Arid,F-Herbivore,P.latipinna,2,40,Fish,-25.00959019,-134.3747358215666,0.0746563881988962,7.36,0.173,0.122,0.31607229912589563,-132.0484437,Animal,11.459444834363635,13.958484455,0.8038196580042113,0.1961803419957887,12.02436367
Semi-Arid,F-Herbivore,P.latipinna,2,40,Fish,-25.00959019,-97.3179171415666,0.0746563881988962,7.36,0.173,0.122,0.31607229912589563,-94.99162502,Animal,11.459444834363635,13.958484455,0.8038196580042113,0.1961803419957887,12.02436367
Semi-Arid,F-Herbivore,P.latipinna,2,80,Fish,-25.42385121,-122.1701696215666,1.7608258481988965,7.36,0.173,0.122,0.31607229912589563,-119.8438775,Animal,11.459444834363635,13.958484455,0.8038196580042113,0.1961803419957887,13.71053313
Semi-Arid,F-Herbivore,P.latipinna,2,80,Fish,-24.3839058,-130.2885669215666,4.217729508198897,7.36,0.173,0.122,0.31607229912589563,-127.9622748,Animal,11.459444834363635,13.958484455,0.8038196580042113,0.1961803419957887,16.16743679
Semi-Arid,F-Herbivore,P.latipinna,2,80,Fish,-27.12811675,-115.9037395215666,0.926784938198896,7.36,0.173,0.122,0.31607229912589563,-113.5774474,Animal,11.459444834363635,13.958484455,0.8038196580042113,0.1961803419957887,12.87649222
Semi-Arid,I-NA,periphyton,1,NA,Aquatic,-24.42468797,-98.4956215617492,0.19010286563636392,7.36,0.173,0.122,0.17300157088983747,-97.22233,Plant,11.459444834363635,13.958484455,1,0,11.6495477
Semi-Arid,I-NA,periphyton,1,NA,Aquatic,-23.77002678,-120.5030467617492,0.8091019056363642,7.36,0.173,0.122,0.17300157088983747,-119.2297552,Plant,11.459444834363635,13.958484455,1,0,12.26854674
Semi-Arid,I-NA,periphyton,1,NA,Aquatic,-25.51507449,-114.4796768617492,0.7518243956363637,7.36,0.173,0.122,0.17300157088983747,-113.2063853,Plant,11.459444834363635,13.958484455,1,0,12.21126923
Semi-Arid,I-NA,periphyton,1,NA,Aquatic,-24.6897721,-100.4346777717492,-1.7513032153636363,7.36,0.173,0.122,0.17300157088983747,-99.16138621,Plant,11.459444834363635,13.958484455,1,0,9.708141619
Semi-Arid,I-NA,periphyton,1,NA,Aquatic,-22.00244155,-111.64932104889206,0.7900093956363641,7.36,0.173,0.122,0.17300157088983747,-110.37602948714286,Plant,11.459444834363635,13.958484455,1,0,12.24945423
Semi-Arid,I-NA,periphyton,1,NA,Aquatic,-24.60820775,-115.0491304617492,0.17904930563636512,7.36,0.173,0.122,0.17300157088983747,-113.7758389,Plant,11.459444834363635,13.958484455,1,0,11.63849414
Semi-Arid,I-NA,periphyton,1,NA,Aquatic,-23.25381033,-113.6066343617492,-1.0559341643636362,7.36,0.173,0.122,0.17300157088983747,-112.3333428,Plant,11.459444834363635,13.958484455,1,0,10.40351067
Semi-Arid,I-NA,periphyton,1,NA,Aquatic,-25.68464247,-118.9764595617492,0.5347727856363651,7.36,0.173,0.122,0.17300157088983747,-117.703168,Plant,11.459444834363635,13.958484455,1,0,11.99421762
Semi-Arid,I-Herbivore,Thiaridae,2,NA,Invertebrate,-25.18345103,-97.2238067115666,0.30839171907672913,7.36,0.173,0.122,0.31607229912589563,-94.89751459,Animal,11.459444834363635,13.958484455,0.5422937447192748,0.45770625528072517,12.91166262
Transition,F-Invertivore,A.natalis,3.33,80,Fish,-27.17557699,-110.06058693555804,9.452975929332144,-17.17,0.173,0.122,0.4687578546559083,-118.1091593,Animal,16.539629825555554,9.326364980000001,0.36163682140066306,0.6383631785993369,21.38792308
Transition,F-Invertivore,A.natalis,3.33,80,Fish,-26.00796646,-79.29962967555805,5.611532229332146,-17.17,0.173,0.122,0.4687578546559083,-87.34820204,Animal,16.539629825555554,9.326364980000001,0.36163682140066306,0.6383631785993369,17.54647938
Transition,F-Invertivore,A.natalis,3.33,80,Fish,-26.38364151,-92.42318613555804,8.154902879332145,-17.17,0.173,0.122,0.4687578546559083,-100.47175850000001,Animal,16.539629825555554,9.326364980000001,0.36163682140066306,0.6383631785993369,20.08985003
